Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
5,WGS,Healthcare,Health Information Services,NASDAQ,475.82,99,99,98,4,671555136.0,27.25
7,CRBP,Healthcare,Biotechnology,NASDAQ,400.5,99,99,99,65,468184352.0,44.34999847412109
9,SOWG,Consumer Defensive,Packaged Foods,NASDAQ,373.15,99,98,97,97,240172032.0,21.31999969482422
20,RNA,Healthcare,Biotechnology,NASDAQ,293.74,99,99,98,28,4130786048.0,38.95000076293945
22,INSG,Technology,Communication Equipment,NASDAQ,273.79,99,98,20,3,103737712.0,10.170000076293944
25,DOGZ,Consumer Cyclical,Leisure,NASDAQ,255.51,99,94,13,9,201654288.0,18.700000762939453
27,VITL,Consumer Defensive,Farm Products,NASDAQ,251.02,99,99,94,76,1736422912.0,45.720001220703125
28,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,249.61,99,99,99,99,12955388928.0,128.5800018310547
32,INSM,Healthcare,Biotechnology,NASDAQ,235.19,99,29,64,90,10697345024.0,69.70999908447266
35,AMSC,Industrials,Specialty Industrial Machinery,NASDAQ,230.49,99,97,96,97,931521536.0,24.040000915527344
38,CRVO,Healthcare,Biotechnology,NASDAQ,221.72,99,98,99,84,160370176.0,20.0
41,ANF,Consumer Cyclical,Apparel Retail,NYSE,218.57,99,98,98,99,9468789760.0,173.24000549316406
43,IREN,Financial Services,Capital Markets,NASDAQ,217.35,99,95,63,99,2044846720.0,12.989999771118164
48,DYN,Healthcare,Biotechnology,NASDAQ,214.08,99,98,98,83,3297019648.0,33.90999984741211
49,SMR,Industrials,Specialty Industrial Machinery,NYSE,212.59,99,97,62,4,768516800.0,10.970000267028809
50,HIMS,Consumer Defensive,Household & Personal Products,NYSE,210.21,99,96,95,85,5324545024.0,23.15999984741211
53,ADMA,Healthcare,Biotechnology,NASDAQ,206.98,99,98,94,84,2461811456.0,11.010000228881836
54,TPC,Industrials,Engineering & Construction,NYSE,204.99,99,99,96,81,1027907392.0,21.93000030517578
58,FTAI,Industrials,Rental & Leasing Services,NASDAQ,201.82,99,98,96,96,9574752256.0,99.66999816894533
63,NVDA,Technology,Semiconductors,NASDAQ,195.88,98,97,97,95,3335037648896.0,126.08999633789062
66,VST,Utilities,Utilities—Independent Power Producers,NYSE,193.33,98,99,97,91,30652921856.0,89.41000366210938
76,CLS,Technology,Electronic Components,NYSE,183.01,98,98,98,96,7053986816.0,55.810001373291016
77,VRT,Industrials,Electrical Equipment & Parts,NYSE,180.69,98,99,99,98,34177699840.0,91.72000122070312
80,BLBD,Consumer Cyclical,Auto Manufacturers,NASDAQ,179.65,98,98,93,93,1851384448.0,54.27000045776367
84,TMDX,Healthcare,Medical Devices,NASDAQ,177.56,98,97,37,77,4765039104.0,145.97999572753906
86,STOK,Healthcare,Biotechnology,NASDAQ,176.49,98,98,98,43,776065344.0,13.949999809265137
87,CDRO,Consumer Cyclical,Gambling,NASDAQ,176.13,98,96,98,48,337469344.0,8.09000015258789
91,PEPG,Healthcare,Biotechnology,NASDAQ,174.35,98,96,97,34,530345408.0,16.770000457763672
92,SG,Consumer Cyclical,Restaurants,NYSE,174.03,98,99,98,61,3552299776.0,29.290000915527344
93,RSI,Consumer Cyclical,Gambling,NYSE,173.62,98,97,94,70,2178609920.0,9.300000190734863
95,CAVA,Consumer Cyclical,Restaurants,NYSE,172.01,98,95,93,67,10877130752.0,93.11000061035156
97,CAMT,Technology,Semiconductor Equipment & Materials,NASDAQ,171.89,98,97,95,97,5384241152.0,115.6999969482422
101,NRIX,Healthcare,Biotechnology,NASDAQ,171.57,98,95,92,76,1126084736.0,20.799999237060547
